,Séquentiel,SID,Heure de soumission,Heure de complétion,Heure de modification,Brouillon,Adresse IP,UID,Nom d'utilisateur,"Quelle est votre structure d'appartenance (DREAL, DDT, DRAAF...) ?",Dans quel service travaillez-vous ?,Pour la réalisation de mes missions j'ai besoin d'accèder aux données et/ou de les visualiser,Souhaiteriez-vous suivre une formation sur un outil d'accès ou de visualisation de données ?,je fais une demande au service compétent,"je sais où trouver la donnée (données internes, extérieures, open data…)","je connais les formats de données, je sais choisir l’outil pour ouvrir la donnée","Outil web intéractif, type tableau de bord","Plateforme web d’accès aux données (géo-ide, DataGrandEst, Observatoires….)","Calc, Excel",QGis,Infocentre (Business object),Access,Metabase,pgAdmin,Beyond,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?,"Si oui, lequel/lesquels et pour quelles utilisations ?","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour accéder aux données ou les visualiser ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'ai besoin de réaliser des traitements sur les données,Souhaiteriez-vous suivre une formation sur un outil de traitement de données ?,je sais produire de la donnée,je sais mettre en qualité les données récupérées,"je sais croiser des données (avec des référentiels, données métier …)",Je sais réaliser des analyses,"Calc, Excel.1",QGis.1,Map info,ArcGIS,Infocentre (Business object).1,SAS,Access.1,R,Python,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.1,"Si oui, lequel/lesquels et pour quelles utilisations ?.1","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour faire du traitement de données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de la gestion et de l'administration de données,Souhaiteriez-vous suivre une formation sur un outil de gestion et d'administration de données ?,je sais structurer les données pour les intégrer à une base de données,je sais créer une base de données,"je sais gérer une base de données (arborescente, relationnelle…)","Je sais administrer un serveur de base de données (gestion des droits utilisateurs, capacité….)","Calc, Excel.2",QGis.2,Asgard (module QGis),Access.2,"pgAdmin, pSQL (postgre/postgis)",MySQL,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.2,"Si oui, lequel/lesquels et pour quelles utilisations ?.2","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et administrer les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'administre des outils de visualisation de données,Souhaiteriez-vous suivre une formation sur un outil de visualisation de données ?,"Calc, Excel.3",Infocentre (Business object).2,Access.3,DataGrandEst,Géo-IDE carto,Apache Superset,Metabase et outils similaires,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.3,"Si oui, lequel/lesquels et pour quelles utilisations ?.3","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour visualiser les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de l'automatisation (par exemple pour le traitement de données,Souhaiteriez-vous suivre une formation sur un langage d'automatisation de traitements ?,je sais utiliser des scripts existants,"je sais adapter des scripts existants (nouvelles données, nouveau traitement)",je sais créer des scripts,"Calc, Excel (macros)","Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …)",R (RStudio...),"pgAdmin, pSQL (postgre/postgis).1",GitLab,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.4,"Si oui, lequel/lesquels et pour quelles utilisations ?.4","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour automatiser les traitements de données ? Si oui, lequel/lesquels ?","Pour la réalisation de mes missions, je développe des applications (web, locale, ...) et des scripts, y compris en mode gestion de projet",Souhaiteriez-vous suivre une formation sur un outil ou langage de développement d'applications ?,je sais développer des applications ou des scripts,je sais gérer un projet de développement,"Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …).1","RShiny (RStudio, Golem, …)",Javascript,Access.4,QGis (developpement de plugin),Taïga : outil agile,GitLab.1,RedMine (ticketing),Resana,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.5,"Si oui, lequel/lesquels et pour quelles utilisations ?.5","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et admnistrer les données ? Si oui, lequel/lesquels ?",Inscrivez-vous pour être tenu au courant de l'avancée du projet
0,8,14289931,06/12/2022 - 16:24,06/12/2022 - 16:24,06/12/2022 - 16:24,0,0.0.0.0,0,Anonymous,DREAL,SEE,Oui,,X,X,X,avancé,débutant,avancé,avancé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
1,9,14298696,07/12/2022 - 10:06,07/12/2022 - 10:06,07/12/2022 - 10:06,0,0.0.0.0,0,Anonymous,DDT10,SAME,Oui,,,X,X,débutant,avancé,expert,expert,débutant,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,X,X,X,expert,expert,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,débutant,débutant,Oui,"R,Python",,Oui,,X,X,X,,expert,expert,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Oui,Asgard,,Oui,,expert,débutant,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
2,10,14304355,07/12/2022 - 15:01,07/12/2022 - 15:01,07/12/2022 - 15:01,0,0.0.0.0,0,Anonymous,DDT10,SAME,Oui,,,X,X,débutant,débutant,débutant,débutant,débutant,débutant,jamais utilisé,jamais utilisé,débutant,Non,,,Oui,,X,X,X,X,débutant,débutant,débutant,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
3,11,14305280,07/12/2022 - 15:41,07/12/2022 - 15:41,07/12/2022 - 15:41,0,0.0.0.0,0,Anonymous,DREAL,SCDD,Oui,,,X,X,expert,débutant,avancé,débutant,débutant,avancé,jamais utilisé,avancé,jamais utilisé,Oui,"Metabase,QGIS;débutant,Calc;avancé",,Oui,,,X,X,,avancé,débutant,débutant,jamais utilisé,débutant,jamais utilisé,avancé,débutant,jamais utilisé,Oui,"R;avancé,Python",,Oui,,X,X,X,X,avancé,débutant,jamais utilisé,avancé,avancé,avancé,Oui,Asgard,,Oui,,avancé,débutant,avancé,débutant,débutant,débutant,débutant,Oui,Superset;niveau avancé,,Oui,,X,X,X,débutant,jamais utilisé,débutant,débutant,débutant,Oui,"Gitlab;niveau 2,Python;niveau 1 et 2,R;niveau 2",,Oui,,,,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,avancé,débutant,avancé,avancé,Oui,"Gitlab;niveau 2,Taiga,Redmine,Javascript,Rshiny;niveau 1,Python;niveau 1",,1
4,12,14306449,07/12/2022 - 16:31,07/12/2022 - 16:31,07/12/2022 - 16:31,0,0.0.0.0,0,Anonymous,DDT57,MOTP,Oui,,,X,X,débutant,débutant,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Géo-IDE,,Oui,,,X,X,X,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,Oui,Mapinfo,,Oui,,,,,,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,PostGre/Postgis,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Géo-IDE carto,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
5,13,14306978,07/12/2022 - 16:56,07/12/2022 - 16:56,07/12/2022 - 16:56,0,0.0.0.0,0,Anonymous,DDT57,DT,Oui,,,X,,débutant,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
6,14,14313046,08/12/2022 - 08:31,08/12/2022 - 08:31,08/12/2022 - 08:31,0,0.0.0.0,0,Anonymous,DDT57,SERAF,Oui,,,X,X,avancé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"ACCESS,METABASE",,Oui,,X,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,ACCESS,,Oui,,X,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,ACCESS,,Non,Oui,,,,,,,,,,,Oui,,,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"JAVASCRIPT,PHP",,
7,15,14314883,08/12/2022 - 10:01,08/12/2022 - 10:01,08/12/2022 - 10:01,0,0.0.0.0,0,Anonymous,DDT,SH,Oui,,X,,,avancé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
8,16,14315154,08/12/2022 - 10:13,08/12/2022 - 10:13,08/12/2022 - 10:13,0,0.0.0.0,0,Anonymous,DDT57,SH,Oui,,,X,X,avancé,débutant,avancé,débutant,expert,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,"QGIS;dans un prochain poste,autres","france cadastre, geokit",Oui,,,X,X,X,avancé,débutant,avancé,jamais utilisé,expert,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS;Mise à niveau,"Infocentre,Geokit",Non,Oui,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
9,17,14315181,08/12/2022 - 10:15,08/12/2022 - 10:15,08/12/2022 - 10:15,0,0.0.0.0,0,Anonymous,DDT57,SABE,Oui,,X,X,,avancé,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Qgis;pour la mise en  forme de données,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
